Year,sum,SSP585,sum.1,SSP370,sum.2,SSP245,sum.3,SSP126
2034,40.43631105,20.18344343,37.86729754,17.61442992,34.99430381,17.00851859,34.53327224,16.54748702
2035,41.74262678,21.48975917,39.08330574,18.83043813,35.58181232,17.59602711,34.4394583,16.45367308
2036,42.4606726,22.20780498,39.12620379,18.87333617,35.91606018,17.93027497,35.64449083,17.65870561
2037,42.43157952,22.1787119,39.73415497,19.48128736,35.80645597,17.82067075,36.41155752,18.42577231
2038,43.30677221,23.05390459,40.67308901,20.42022139,36.30760569,18.32182048,36.60258661,18.6168014
2039,44.45788731,24.20501969,40.76321233,20.51034471,37.2943448,19.30855959,36.02974404,18.04395882
2040,45.00787892,24.75501131,41.28330211,21.03043449,37.45036004,19.46457483,36.27161618,18.28583096
2041,45.44151325,25.18864564,41.88482652,21.63195891,37.86893464,19.88314942,36.57735349,18.59156827
2042,46.1617551,25.90888748,42.2558864,22.00301878,38.43586792,20.4500827,36.61195362,18.62616841
2043,46.92145262,26.66858501,42.70373872,22.4508711,38.96825196,20.98246675,36.91924922,18.933464
2044,46.89329004,26.64042243,42.60739925,22.35453164,39.00580246,21.02001725,37.22322832,19.2374431
2045,48.0711791,27.81831148,43.44672351,23.19385589,39.1089785,21.12319329,37.8491282,19.86334299
2046,48.36527926,28.11241164,43.88699812,23.6341305,39.6121564,21.62637118,38.24392243,20.25813722
2047,48.57704706,28.32417945,44.37313528,24.12026766,40.35996145,22.37417624,38.63241446,20.64662924
2048,49.51593055,29.26306294,45.33978522,25.0869176,40.70960636,22.72382114,38.62076754,20.63498232
2049,50.26315327,30.01028566,45.82626486,25.57339725,41.14655465,23.16076944,38.67108996,20.68530474
2050,50.44912319,30.19625558,46.73653809,26.48367047,41.41625443,23.43046922,39.62776305,21.64197784
2051,50.32401377,30.07114615,47.78473851,27.53187089,41.70774885,23.72196364,39.86256853,21.87678331
2052,51.18879766,30.93593004,47.12708317,26.87421556,42.55185328,24.56606806,39.37934188,21.39355667
2053,52.09785088,31.84498327,47.94613342,27.69326581,42.55667582,24.5708906,38.97211286,20.98632765
2054,52.38436593,32.13149832,48.35842232,28.1055547,42.46176122,24.47597601,39.6115767,21.62579149
2055,52.80513802,32.5522704,49.75315982,29.5002922,43.08019148,25.09440627,40.64509854,22.65931333
2056,53.45760945,33.20474183,50.11872658,29.86585897,42.89545217,24.90966696,40.65758686,22.67180164
2057,53.83476401,33.58189639,50.27879694,30.02592933,43.2468578,25.26107259,41.07387626,23.08809105
2058,55.44581002,35.19294241,51.16563223,30.91276461,43.99374851,26.0079633,40.18073163,22.19494641
2059,55.79666772,35.5438001,51.50973862,31.256871,44.52699975,26.54121454,41.03718228,23.05139706
2060,56.65022906,36.39736144,51.69166839,31.43880078,45.11277086,27.12698565,41.27243914,23.28665392
2061,56.60902179,36.35615417,52.34103217,32.08816455,45.40334535,27.41756013,41.21387884,23.22809363
2062,57.78325226,37.53038464,53.26187013,33.00900251,45.81029009,27.82450488,41.79256348,23.80677827
2063,58.20566021,37.9527926,53.6364361,33.38356848,46.61514021,28.629355,42.16428267,24.17849746
2064,58.84476037,38.59189275,53.24995415,32.99708654,46.71694835,28.73116313,41.85230324,23.86651802
2065,59.09414588,38.84127827,54.0765124,33.82364479,46.97056029,28.98477507,42.22392836,24.23814315
2066,59.52482873,39.27196111,55.34839552,35.09552791,47.17892237,29.19313716,42.91659944,24.93081422
2067,60.55990572,40.3070381,55.74896741,35.4960998,47.73199493,29.74620971,42.71033533,24.72455011
2068,60.50587495,40.25300734,55.98535703,35.73248942,48.80130986,30.81552464,42.76820811,24.7824229
2069,61.22989674,40.97702913,56.27494951,36.0220819,48.50788735,30.52210214,42.82907027,24.84328506
2070,61.94082755,41.68795994,57.10498002,36.8521124,47.71570113,29.72991592,43.26939697,25.28361175
2071,62.33716886,42.08430125,57.59028589,37.33741828,48.53073095,30.54494573,43.39869832,25.4129131
2072,63.05018122,42.79731361,58.48016149,38.22729387,49.13949029,31.15370507,43.55400237,25.56821716
2073,63.14642507,42.89355745,59.06949981,38.8166322,49.0789297,31.09314449,43.27374997,25.28796475
2074,63.33465929,43.08179167,59.44113661,39.18826899,49.81211641,31.82633119,43.55657171,25.57078649
2075,64.00938924,43.75652162,59.7384056,39.48553799,49.71920471,31.7334195,43.75939649,25.77361128
2076,64.80028995,44.54742233,60.31129178,40.05842416,49.9325148,31.94672958,43.55751928,25.57173406
2077,64.9242564,44.67138878,60.6879741,40.43510649,49.61974659,31.63396138,43.417643,25.43185779
2078,65.1731284,44.92026078,60.39775373,40.14488612,50.28283745,32.29705223,43.7624447,25.77665949
2079,65.53545395,45.28258634,61.54626674,41.29339912,49.90670523,31.92092002,44.20148132,26.21569611
2080,66.64219544,46.38932782,62.18474005,41.93187243,50.16758197,32.18179675,44.30123535,26.31545013
2081,66.87408831,46.62122069,61.75551293,41.50264531,50.81915917,32.83337395,43.72820682,25.7424216
2082,67.45335906,47.20049145,62.5427957,42.28992808,50.69835646,32.71257125,44.31765469,26.33186947
2083,67.76770518,47.51483757,63.07641219,42.82354457,51.22071815,33.23493293,43.86243328,25.87664807
2084,68.08760266,47.83473504,63.22727562,42.974408,51.7771215,33.79133629,44.167856,26.18207078
2085,68.26438776,48.01152014,64.01551981,43.7626522,52.40608856,34.42030335,44.169085,26.18329978
2086,68.76899307,48.51612546,64.3262386,44.07337098,52.64091391,34.65512869,44.32451748,26.33873227
2087,68.84524625,48.59237864,64.218991,43.96612339,52.49706244,34.51127722,44.43370064,26.44791543
2088,69.19697075,48.94410313,64.86192231,44.60905469,52.34313721,34.357352,43.94398195,25.95819673
2089,69.23506054,48.98219293,65.27049157,45.01762395,52.47137773,34.48559252,44.00830305,26.02251783
2090,69.75351515,49.50064754,65.6759292,45.42306158,52.30169867,34.31591346,44.26793024,26.28214502
2091,70.07641047,49.82354286,65.91652106,45.66365344,52.98371612,34.99793091,44.10621486,26.12042965
2092,70.21968362,49.966816,66.19239583,45.93952822,53.80961418,35.82382897,44.85161664,26.86583142
2093,70.59132199,50.33845438,65.98174153,45.72887391,53.71903582,35.7332506,43.91843592,25.93265071
2094,70.85928496,50.60641734,66.14733741,45.89446979,53.12193967,35.13615446,43.80147662,25.8156914
2095,71.25498614,51.00211852,66.60976343,46.35689582,54.01518231,36.02939709,44.19242197,26.20663675
2096,71.35962221,51.1067546,66.72696423,46.47409662,54.30837586,36.32259064,44.22119746,26.23541225
2097,71.45217271,51.1993051,67.34922884,47.09636122,54.31474478,36.32895956,44.39347349,26.40768827
2098,71.81683349,51.56396587,67.39322191,47.14035429,54.12132884,36.13554362,45.29419854,27.30841332
2099,71.78365594,51.53078833,67.83572733,47.58285972,53.74674386,35.76095865,44.91927315,26.93348793
2100,71.78365594,51.53078833,67.78053299,47.52766538,54.27427694,36.28849173,44.50032628,26.51454107
