Year,mean_585,std_585,mean_370,std_370,mean_245,std_245,mean_126,std_126,TF
2084,42208.11173,8708.23465,39198.41281,10209.15635,32799.97385,10922.31569,27986.38395,8663.35114,2080-2100
2085,42314.82681,8641.89523,39687.12156,9892.96373,33206.45081,11021.79814,27986.57761,8833.62721,2080-2100
2086,42628.28097,8431.18171,39877.41801,9867.14891,33347.47442,10816.14648,28083.61032,8799.45932,2080-2100
2087,42677.73543,8444.54387,39811.1998,9784.44322,33253.54921,10939.4854,28156.08325,8829.81026,2080-2100
2088,42894.05366,8252.79837,40210.10361,9700.06861,33150.82097,11233.74624,27840.26771,8750.68776,2080-2100
2089,42917.31589,8231.53381,40462.26597,9560.96013,33239.0254,10996.05106,27883.06184,8889.47897,2080-2100
2090,43236.85312,8003.85814,40716.86496,9465.64824,33126.25589,10935.98663,28051.36613,8695.44946,2080-2100
2091,43436.27198,7849.69785,40864.87385,9335.12654,33560.46619,10836.33709,27945.12067,8862.36866,2080-2100
2092,43524.36972,7781.65825,41035.1312,9311.01836,34088.22966,10627.92566,28415.12486,8964.67893,2080-2100
2093,43754.06087,7619.1896,40904.25279,9506.18761,34031.91799,10671.81211,27832.39144,9033.77,2080-2100
2094,43921.62091,7374.38557,41005.22228,9435.07313,33650.83151,11155.86927,27759.17838,9171.69312,2080-2100
2095,44166.96364,7147.48546,41293.6626,9263.74047,34218.27473,10712.77716,28003.89747,8964.70738,2080-2100
2096,44232.48527,7130.01694,41364.7577,9158.23798,34405.06073,10600.68625,28024.42623,8997.79623,2080-2100
2097,44291.62059,7102.9731,41749.7021,8875.94501,34402.98528,10662.85894,28134.1397,8810.833,2080-2100
2098,44517.52291,6864.77169,41775.67816,8945.85561,34286.9192,10822.13654,28702.71723,8638.1564,2080-2100
2099,44497.57478,6906.39039,42048.96714,8706.95033,34046.35872,10677.16659,28464.15014,8752.50047,2080-2100
2100,44497.57478,6906.39039,42015.93357,8715.63261,34381.96157,10532.26243,28204.69738,8627.3546,2080-2100
