Year,Total_126,STD_126,Total_245,STD_245,Total_585,STD_585,Total_370,STD_370,TF
2051,39.62788212,13.66303604,41.67835414,13.90567079,50.02454167,18.37829223,47.50214091,16.3332278,NA
2052,39.14871147,13.15061553,42.52173349,13.58037672,50.88373413,18.29616777,46.84892102,16.83552541,NA
2053,38.74379411,13.01951252,42.52838352,14.14393368,51.78729801,18.34998891,47.66226865,17.0731165,NA
2054,39.37962171,13.05956527,42.43109488,13.70377783,52.07169532,18.54469333,48.07158952,17.15178898,NA
2055,40.4065886,13.44198893,43.04859593,13.54762533,52.48996015,18.0624357,49.45747566,17.04504713,NA
2056,40.41882122,13.22758549,42.86443103,13.79271112,53.13901893,18.116591,49.82030264,17.16477114,NA
2057,40.83253209,13.02298334,43.21438567,13.91174548,53.51359546,18.09632465,49.97976378,17.26902732,NA
2058,39.94523167,13.30052794,43.96178664,14.25371586,55.1138227,18.0244907,50.86111916,17.53301623,NA
2059,40.79627327,13.5620072,44.49010543,13.93816049,55.46211365,18.50783799,51.20241247,17.83878507,NA
2060,41.03021932,13.42851158,45.07713424,13.93002808,56.31038692,18.3933748,51.38288182,18.24647129,NA
2061,40.97206431,13.2612689,45.36561846,14.23765248,56.26967876,18.04178764,52.02839769,18.43561601,NA
2062,41.54682683,13.38995419,45.7728388,14.4215619,57.43620302,17.82671326,52.94376159,17.97799956,NA
2063,41.91635225,13.52748272,46.5801112,14.31536258,57.8553756,17.78967448,53.31570419,17.90553458,NA
2064,41.6066724,13.63161255,46.67897983,14.60210995,58.49096038,17.92505708,52.93129395,18.33333583,NA
2065,41.97567481,13.73125081,46.93580349,14.25808186,58.73859761,17.69884713,53.7525012,18.36626517,NA
2066,42.66394716,13.67400985,47.14671382,14.40614962,59.16641471,17.48275127,55.01671379,17.78127878,NA
2067,42.45888616,13.76056604,47.70232815,14.14031615,60.19480806,17.25545505,55.41410827,17.8075025,NA
2068,42.51680285,14.19275793,48.77065126,13.77951076,60.14175358,17.51993156,55.64883717,17.80140407,NA
2069,42.57731644,14.09925902,48.47020705,14.10286975,60.86031681,17.02755247,55.93708758,17.83446445,NA
2070,43.01475589,14.33260987,47.67981658,14.35760753,61.56678692,16.85119918,56.76187975,17.67015273,NA
2071,43.14302707,14.13027859,48.4942235,14.41483219,61.96061647,16.65657203,57.24373233,17.145205,NA
2072,43.29782971,14.14698922,49.10021636,13.93912648,62.66873805,16.21647747,58.12793809,16.97338893,NA
2073,43.01960056,13.86403074,49.04520043,13.79757101,62.76463902,16.41212821,58.71418911,17.0963413,NA
2074,43.30049443,13.74223219,49.77425357,13.99532393,62.95168267,16.34001138,59.08246601,17.17340067,NA
2075,43.50250863,13.54357479,49.68901927,13.89359771,63.62161126,15.88793916,59.37798108,17.05036522,NA
2076,43.30140857,13.9567211,49.89903113,13.86877148,64.40729342,15.34550597,59.94788165,16.90538442,NA
2077,43.16264964,13.5730693,49.5761257,14.23671861,64.530736,15.52200693,60.32169319,16.86871846,NA
2078,43.50509125,13.71140389,50.24098239,13.87898223,64.77753264,15.18195388,60.03329081,17.30123362,NA
2079,43.9413532,13.90746894,49.86671726,13.98227181,65.13738397,15.14507699,61.1743226,16.66014228,NA
2080,44.04071622,13.79212151,50.12674157,13.67186743,66.23686506,14.49770328,61.80892062,16.45127568,2080-2100
2081,43.47114932,13.78209112,50.77728239,13.51140005,66.4670729,14.40118896,61.3821322,16.572046,2080-2100
2082,44.05713937,13.60814559,50.66047877,13.61200186,67.04238787,14.18915062,62.16463492,16.18058714,2080-2100
2083,43.6045139,13.61797149,51.17570201,13.72473437,67.35469137,13.96836763,62.69525114,15.8977688,2080-2100
2084,43.90827897,13.62578016,51.73878933,13.50498233,67.67237962,13.76339284,62.8447741,16.08913169,2080-2100
