,mean_585,mean_370,mean_245,mean_126,std_585,std_370,std_245,std_126,Year,,,,,,,,,,,,,,,,
thaw_depth_160,1.484841605,1.484841605,1.335047895,1.335047895,0.588788003,0.588788003,0.553822631,0.553822631,2009,,,,,,,,585,,,,,,,,
thaw_depth_161,1.486716688,1.486716688,1.325357667,1.325357667,0.580205729,0.580205729,0.531236382,0.531236382,2010,,,,,,,,1.399910437,1.399910437,1.269023795,1.269023795,,,,,
thaw_depth_162,1.501148105,1.501148105,1.347411963,1.347411963,0.592598403,0.592598403,0.555437618,0.555437618,2011,,1.686781547,1.639789151,1.571511326,1.556845511,,,139.9910437,139.9910437,126.9023795,126.9023795,,,,,
thaw_depth_163,1.506592425,1.506592425,1.359610603,1.359610603,0.606649725,0.606649725,0.571022827,0.571022827,2012,,168.6781547,163.9789151,157.1511326,155.6845511,,,4.035519641,3.763285029,2.77057389,2.309556787,,,,,
thaw_depth_164,1.490617451,1.490617451,1.342577491,1.342577491,0.605511998,0.605511998,0.555148927,0.555148927,2013,,38.9822103,,,,,,403.5519641,376.3285029,277.057389,230.9556787,,,,,
thaw_depth_165,1.570479967,1.570479967,1.416426118,1.416426118,0.607794883,0.607794883,0.566658682,0.566658682,2014,,,,,,,,,,,,,,,,
thaw_depth_166,1.559241901,1.524888566,1.487083808,1.445563667,0.605576781,0.590191062,0.593928236,0.570829143,2015,,,,,,,,263.5609204,236.3374592,150.1550095,104.0532992,,,,,
thaw_depth_167,1.591694254,1.497128591,1.477976316,1.429694967,0.621415256,0.603287272,0.610022562,0.582803104,2016,,,,,,,,26.35609204,23.63374592,15.01550095,10.40532992,,,,,
thaw_depth_168,1.608829604,1.555889032,1.466956714,1.478687314,0.644457622,0.605806967,0.598586581,0.592229313,2017,,,,,,,,,,,,,,,,
thaw_depth_169,1.601022798,1.571504074,1.487689412,1.478305788,0.650224266,0.606036097,0.61962645,0.599291868,2018,,,,,,,,,,,,,,,,
thaw_depth_170,1.655531524,1.576575687,1.524031282,1.517439079,0.648494796,0.619593793,0.603784381,0.597928676,2019,,,,,,,,,,,,,,,,
thaw_depth_171,1.686781547,1.639789151,1.571511326,1.556845511,0.64218758,0.617305353,0.60801821,0.60378671,2020,,,,,,,,,,,,,,,,
thaw_depth_172,1.719919919,1.653942564,1.547125629,1.558595682,0.659067252,0.630362203,0.617103924,0.610380677,2021,,,,,,,,,,,,,,,,
thaw_depth_173,1.759222714,1.65637676,1.633721911,1.578798729,0.66585551,0.613497398,0.625492653,0.600970224,2022,,,,,,,,,,,,,,,,
