,126_1,126_10,245_1,245_10,370_1,370_10,585_1,585_10
1979,0.121308242,1.213082403,0.121308242,1.213082403,0.030293038,0.302930377,0.030293038,0.302930377
1980,0.195769082,1.957690826,0.195769082,1.957690826,0.171768938,1.717689387,0.171768938,1.717689387
1981,0.050555524,0.505555231,0.050555524,0.505555231,0.033213729,0.332137294,0.033213729,0.332137294
1982,0.210884867,2.108848658,0.210884867,2.108848658,0.151701421,1.517014204,0.151701421,1.517014204
1983,0.283669747,2.836697489,0.283669747,2.836697489,0.154927527,1.549275268,0.154927527,1.549275268
1984,0.253123347,2.531233464,0.253123347,2.531233464,0.113021147,1.130211472,0.113021147,1.130211472
1985,0.213372489,2.13372488,0.213372489,2.13372488,0.174627216,1.746272158,0.174627216,1.746272158
1986,0.277765115,2.77765113,0.277765115,2.77765113,0.183099685,1.83099686,0.183099685,1.83099686
1987,0.186084553,1.860845521,0.186084553,1.860845521,0.16261355,1.626135502,0.16261355,1.626135502
1988,0.173353746,1.733537453,0.173353746,1.733537453,0.162561031,1.625610325,0.162561031,1.625610325
1989,0.298479122,2.984791199,0.298479122,2.984791199,0.139765457,1.397654577,0.139765457,1.397654577
1990,0.250177339,2.501773396,0.250177339,2.501773396,0.20409525,2.040952499,0.20409525,2.040952499
1991,0.235414626,2.354146254,0.235414626,2.354146254,0.193203328,1.932033277,0.193203328,1.932033277
1992,0.190445382,1.904453816,0.190445382,1.904453816,0.124862181,1.248621813,0.124862181,1.248621813
1993,0.260985373,2.609853729,0.260985373,2.609853729,0.247941789,2.479417889,0.247941789,2.479417889
1994,0.317052102,3.17052101,0.317052102,3.17052101,0.193722755,1.937227555,0.193722755,1.937227555
1995,0.091949962,0.919499604,0.091949962,0.919499604,0.074781076,0.747810761,0.074781076,0.747810761
1996,0.316074276,3.160742751,0.316074276,3.160742751,0.299640219,2.996402172,0.299640219,2.996402172
1997,0.481463521,4.814635209,0.481463521,4.814635209,0.378107018,3.78107018,0.378107018,3.78107018
1998,0.495981727,4.959817256,0.495981727,4.959817256,0.433597079,4.335970787,0.433597079,4.335970787
1999,0.602389979,6.023899774,0.602389979,6.023899774,0.447923214,4.479232141,0.447923214,4.479232141
2000,0.600865966,6.00865965,0.600865966,6.00865965,0.49949546,4.994954589,0.49949546,4.994954589
2001,0.607296415,6.072964172,0.607296415,6.072964172,0.575710109,5.757101085,0.575710109,5.757101085
2002,0.685731209,6.857312084,0.685731209,6.857312084,0.68521822,6.852182199,0.68521822,6.852182199
2003,0.509144828,5.091448284,0.509144828,5.091448284,0.572774418,5.727744176,0.572774418,5.727744176
2004,0.651788504,6.517885015,0.651788504,6.517885015,0.701168619,7.011686194,0.701168619,7.011686194
2005,0.729052694,7.290526908,0.729052694,7.290526908,0.770919876,7.709198759,0.770919876,7.709198759
2006,0.769036574,7.690365736,0.769036574,7.690365736,0.791396877,7.913968767,0.791396877,7.913968767
2007,0.767346765,7.673467656,0.767346765,7.673467656,0.866601245,8.666012451,0.866601245,8.666012451
2008,0.815467195,8.154671955,0.815467195,8.154671955,0.9305143,9.305142999,0.9305143,9.305142999
2009,0.91588565,9.158856481,0.91588565,9.158856481,1.03589582,10.3589582,1.03589582,10.3589582
2010,0.862447875,8.624478766,0.862447875,8.624478766,0.985460404,9.854604039,0.985460404,9.854604039
2011,0.867371275,8.673712747,0.867371275,8.673712747,0.976238581,9.762385826,0.976238581,9.762385826
2012,0.895198925,8.951989256,0.895198925,8.951989256,0.989962862,9.899628622,0.989962862,9.899628622
2013,0.862042724,8.620427235,0.862042724,8.620427235,0.954770381,9.547703806,0.954770381,9.547703806
2014,0.985991952,9.859919511,0.985991952,9.859919511,1.151283958,11.51283958,1.151283958,11.51283958
2015,1.021171001,10.21171002,1.176843524,11.76843522,0.963387565,9.633875658,1.111309949,11.11309949
2016,1.054765806,10.54765805,1.137158988,11.37158988,0.895304455,8.953044568,1.160918887,11.60918887
2017,1.180277524,11.80277523,1.094376568,10.94376565,1.08253719,10.82537191,1.166065897,11.66065896
2018,1.110059074,11.10059072,1.145767583,11.45767583,1.091708187,10.91708189,1.129881205,11.29881204
2019,1.194498285,11.94498284,1.260660978,12.60660979,1.054673081,10.54673082,1.35437153,13.5437153
2020,1.369018328,13.69018327,1.405570453,14.05570456,1.275173508,12.75173508,1.3652151,13.65215101
2021,1.343711138,13.4371114,1.303888799,13.03888798,1.264259862,12.64259863,1.514765121,15.1476512
2022,1.385812868,13.85812871,1.476895599,14.76895599,1.233722478,12.33722479,1.508960952,15.08960952
2023,1.519985491,15.19985492,1.464940003,14.64940004,1.292334241,12.92334243,1.542279039,15.4227904
2024,1.457004754,14.57004754,1.551250614,15.51250616,1.4807789,14.807789,1.71331484,17.13314841
2025,1.509434825,15.09434825,1.489789257,14.89789256,1.46543435,14.6543435,1.721623479,17.21623478
2026,1.608196639,16.0819664,1.422758905,14.22758906,1.584761587,15.84761587,1.846961365,18.46961365
2027,1.590782087,15.90782087,1.513779899,15.137799,1.516339708,15.16339708,1.866308511,18.66308511
2028,1.520107926,15.20107927,1.560320239,15.60320239,1.715442091,17.15442092,2.031792436,20.31792438
2029,1.566732102,15.66732103,1.749624301,17.496243,1.754788832,17.54788833,2.072528795,20.72528794
2030,1.604010298,16.04010299,1.600472603,16.00472604,1.773099521,17.73099521,2.111685973,21.11685974
2031,1.74845158,17.48451581,1.560236274,15.60236272,1.867292002,18.67292002,2.235319734,22.35319735
2032,1.69280927,16.92809275,1.644335492,16.44335493,1.873180132,18.73180131,2.275020307,22.75020307
2033,1.758233292,17.58233293,1.712183,17.12183001,2.04181523,20.4181523,2.376917092,23.7691709
2034,1.903563976,19.03563978,1.868114512,18.68114512,1.957265924,19.57265925,2.364416142,23.64416142
2035,1.806833086,18.06833086,1.937987194,19.37987195,2.089777962,20.89777963,2.484467814,24.84467815
